Instance name                                                                                                    | Checked answer | CPU time | Solver name  | Solver version
crafted/Difficult/contest-02-03-04/contest04-lksat-n1000-m6860-k4-l4-s1935114289.sat05-523.reshuffled-07.cnf     | SIGNAL         | 1395.7   | March KS     | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNSAT          | 786.482  | MXC          | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNSAT          | 801.463  | minisat      | SAT 2007  
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNSAT          | 1254.27  | SATzilla     | CRAFTED   
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNSAT          | 3443.39  | MiraXT       | v3        
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNKNOWN TO     | 5000.02  | Rsat         | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNKNOWN TO     | 5000.05  | CMUSAT       | 2007-02-08
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNKNOWN TO     | 5000.05  | picosat      | 535       
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNKNOWN TO     | 5000.06  | TTS          | 4.0       
crafted/Difficult/contest-02-03-04/contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07.cnf      | UNKNOWN TO     | 5000.11  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNSAT          | 246.128  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNSAT          | 2160.79  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNSAT          | 3856.38  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN EXCODE | 4998.4   | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.06  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.08  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.08  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.12  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.13  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNSAT          | 338.762  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNSAT          | 1762.76  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNSAT          | 4593.7   | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNSAT          | 4734.73  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNKNOWN EXCODE | 4998.36  | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.05  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.05  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.08  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf                        | UNKNOWN TO     | 5000.1   | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | SAT            | 112.6    | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | SAT            | 173.067  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | SAT            | 784.687  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | SAT            | 792.106  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | SAT            | 881.204  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | UNKNOWN TO     | 5000.04  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | UNKNOWN TO     | 5000.09  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | UNKNOWN TO     | 5000.1   | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf                      | UNKNOWN TO     | 5000.18  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 108.647  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 366.767  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 383.056  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 451.325  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 466.757  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 641.456  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNSAT          | 704.749  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNKNOWN EXCODE | 4998.27  | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf                    | UNKNOWN TO     | 5000.03  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNSAT          | 60.4198  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNSAT          | 309.364  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNSAT          | 585.835  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNSAT          | 1134.94  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNSAT          | 2055.46  | CMUSAT       | 2007-02-08
